0xddcbd5:set 2,(ix+*),l
0xddcbd6:set 2,(ix+*)
0xddcbd7:set 2,(ix+*),a
0xddcbd8:set 3,(ix+*),b
0xddcbd9:set 3,(ix+*),c
0xddcbda:set 3,(ix+*),d
0xddcbdb:set 3,(ix+*),e
0xddcbdc:set 3,(ix+*),h
0xddcbdd:set 3,(ix+*),l
0xddcbde:set 3,(ix+*)
0xddcbdf:set 3,(ix+*),a
0xddcbe0:set 4,(ix+*),b
0xddcbe1:set 4,(ix+*),c
0xddcbe2:set 4,(ix+*),d
0xddcbe3:set 4,(ix+*),e
0xddcbe4:set 4,(ix+*),h
0xddcbe5:set 4,(ix+*),l
0xddcbe6:set 4,(ix+*)
0xddcbe7:set 4,(ix+*),a
0xddcbe8:set 5,(ix+*),b
0xddcbe9:set 5,(ix+*),c
0xddcbea:set 5,(ix+*),d
0xddcbeb:set 5,(ix+*),e
0xddcbec:set 5,(ix+*),h
0xddcbed:set 5,(ix+*),l
0xddcbee:set 5,(ix+*)
0xddcbef:set 5,(ix+*),a
0xddcbf0:set 6,(ix+*),b
0xddcbf1:set 6,(ix+*),c
0xddcbf2:set 6,(ix+*),d
0xddcbf3:set 6,(ix+*),e
0xddcbf4:set 6,(ix+*),h
0xddcbf5:set 6,(ix+*),l
0xddcbf6:set 6,(ix+*)
0xddcbf7:set 6,(ix+*),a
0xddcbf8:set 7,(ix+*),b
0xddcbf9:set 7,(ix+*),c
0xddcbfa:set 7,(ix+*),d
0xddcbfb:set 7,(ix+*),e
0xddcbfc:set 7,(ix+*),h
0xddcbfd:set 7,(ix+*),l
0xddcbfe:set 7,(ix+*)
0xddcbff:set 7,(ix+*),a
0xfd09:add iy,bc
0xfd19:add iy,de
0xfd21:ld iy,**
0xfd22:ld (**),iy
0xfd23:inc iy
0xfd24:inc iyh
0xfd25:dec iyh
0xfd26:ld iyh,*
0xfd29:add iy,iy
0xfd2a:ld iy,(**)
0xfd2b:dec iy
0xfd2c:inc iyl
0xfd2d:dec iyl
0xfd2e:ld iyl,*
0xfd34:inc (iy+*)
0xfd35:dec (iy+*)
0xfd36:ld (iy+*),*
0xfd39:add iy,sp
0xfd44:ld b,iyh
0xfd45:ld b,iyl
0xfd46:ld b,(iy+*)
0xfd4c:ld c,iyh
0xfd4d:ld c,iyl
0xfd4e:ld c,(iy+*)
0xfd54:ld d,iyh
0xfd55:ld d,iyl
0xfd56:ld d,(iy+*)
0xfd5c:ld e,iyh
0xfd5d:ld e,iyl
0xfd5e:ld e,(iy+*)
0xfd60:ld iyh,b
0xfd61:ld iyh,c
0xfd62:ld iyh,d
0xfd63:ld iyh,e
0xfd64:ld iyh,iyh
0xfd65:ld iyh,iyl
0xfd66:ld h,(iy+*)
0xfd67:ld iyh,a
0xfd68:ld iyl,b
0xfd69:ld iyl,c
0xfd6a:ld iyl,d
0xfd6b:ld iyl,e
0xfd6c:ld iyl,iyh
0xfd6d:ld iyl,iyl
0xfd6e:ld l,(iy+*)
0xfd6f:ld iyl,a
0xfd70:ld (iy+*),b
0xfd71:ld (iy+*),c
0xfd72:ld (iy+*),d
0xfd73:ld (iy+*),e
0xfd74:ld (iy+*),h
0xfd75:ld (iy+*),l
0xfd77:ld (iy+*),a
0xfd7c:ld a,iyh
0xfd7d:ld a,iyl
0xfd7e:ld a,(iy+*)
0xfd84:add a,iyh
0xfd85:add a,iyl
0xfd86:add a,(iy+*)
0xfd8c:adc a,iyh
0xfd8d:adc a,iyl
0xfd8e:adc a,(iy+*)
0xfd94:sub iyh
0xfd95:sub iyl
0xfd96:sub (iy+*)
0xfd9c:sbc a,iyh
0xfd9d:sbc a,iyl
0xfd9e:sbc a,(iy+*)
0xfda4:and iyh
0xfda5:and iyl
0xfda6:and (iy+*)
0xfdac:xor iyh
0xfdad:xor iyl
0xfdae:xor (iy+*)
0xfdb4:or iyh
0xfdb5:or iyl
0xfdb6:or (iy+*)
